Season,GameID,Drive,n.sacks,n.completions,n.incompletions,n.stuffed.runs,n.positive.runs,n.negative.plays,n.fumbles,first.downs.gained,third.downs.converted,takeaway.nonscore,turnover.nonscore,punt.safety,pts.scored,ST.return.yards.net,off.ST.start.pos,off.ST.yards.gained
2009,2009091000,1,0,1,0,1,0,1,0,0,0,0,0,1,0,24,58,48
2009,2009091000,2,0,1,0,2,0,1,0,0,0,0,0,1,0,-2,98,-4
2009,2009091000,3,1,3,0,1,0,2,0,1,0,0,0,1,0,-19,43,-38
2009,2009091000,4,0,1,0,0,2,0,0,2,0,0,1,0,0,37,89,107
2009,2009091000,5,1,0,0,0,2,1,0,0,0,0,0,1,0,-9,73,-18
2009,2009091000,6,0,5,0,0,1,1,0,2,0,0,0,0,0,16,74,46
2009,2009091000,7,0,0,0,0,2,0,0,0,0,0,0,0,0,44,79,47
2009,2009091000,8,1,1,0,1,1,2,0,1,0,0,0,1,0,-10,44,-20
2009,2009091000,9,0,4,0,2,2,2,0,2,0,0,0,1,0,32,95,64
2009,2009091000,10,0,4,0,1,3,1,0,3,0,0,1,0,0,31,73,91
2009,2009091000,11,0,4,0,0,0,0,0,0,0,0,0,0,7,34,79,113
2009,2009091000,12,0,2,0,0,0,0,0,0,0,0,0,0,7,14,71,85
2009,2009091000,13,1,4,0,0,0,2,0,1,0,0,0,0,0,80,73,98
2009,2009091000,14,0,2,0,1,3,0,1,2,0,0,0,0,0,5,79,42
2009,2009091000,15,0,0,0,1,2,0,0,0,0,0,0,1,0,45,54,90
2009,2009091000,16,0,0,0,2,1,1,1,0,0,1,1,1,0,-2,95,-4
2009,2009091000,17,0,1,0,1,2,1,0,1,0,0,0,1,0,23,54,46
2009,2009091000,18,0,3,0,0,2,2,0,1,0,0,0,1,0,26,90,52
2009,2009091000,19,0,1,0,1,1,0,0,0,0,0,0,1,0,5,85,10
2009,2009091000,20,0,4,0,1,1,1,0,2,0,0,0,0,3,45,63,81
2009,2009091000,21,1,7,0,1,2,2,0,5,0,0,0,0,3,32,70,88
2009,2009091000,22,0,1,0,0,0,0,0,1,0,0,0,1,0,23,82,46
2009,2009091000,23,0,4,0,0,0,0,1,1,0,0,0,0,0,4,58,28
2009,2009091000,24,0,0,0,0,3,1,0,0,0,0,0,0,0,4,96,96
2009,2009091000,25,0,5,0,0,2,0,0,3,0,0,0,0,3,33,78,96
2009,2009091300,1,0,4,0,1,3,0,0,4,0,0,1,0,0,42,71,89
2009,2009091300,2,1,0,0,0,2,0,1,0,0,0,0,0,0,37,68,42
2009,2009091300,3,0,1,0,0,0,1,0,0,0,0,0,1,0,6,37,12
2009,2009091300,4,1,5,0,0,3,1,0,3,1,0,0,1,0,-7,88,-14
2009,2009091300,5,0,6,0,2,5,3,0,5,1,0,0,0,7,1,89,90
2009,2009091300,6,0,1,0,1,2,0,0,1,0,0,0,1,0,39,86,78
2009,2009091300,7,0,0,0,0,2,0,0,0,0,0,0,1,0,11,76,22
2009,2009091300,8,0,2,0,0,1,0,1,1,0,0,0,0,0,26,64,74
2009,2009091300,9,1,2,0,0,0,1,0,1,0,0,0,0,3,36,31,49
2009,2009091300,10,0,0,0,0,1,0,0,0,0,0,0,0,0,2,82,66
2009,2009091300,11,0,0,0,1,1,1,0,0,0,0,0,1,0,36,84,72
2009,2009091300,12,0,1,0,0,1,0,0,0,0,0,0,1,0,9,71,18
2009,2009091300,13,2,1,0,0,0,1,0,0,0,0,0,1,0,-6,74,-12
2009,2009091300,14,1,1,0,0,1,1,0,0,0,0,0,1,0,10,48,20
2009,2009091300,15,0,2,0,1,6,2,0,3,0,0,0,0,0,39,80,72
2009,2009091300,16,0,1,0,0,0,0,0,0,0,0,0,0,6,20,20,40
2009,2009091300,17,0,1,0,0,1,0,1,1,0,0,0,0,0,38,86,52
2009,2009091300,18,0,2,0,1,2,1,0,2,1,0,1,0,0,38,38,56
2009,2009091300,19,0,2,0,0,0,0,0,0,0,0,0,1,0,33,72,66
2009,2009091300,20,0,4,0,1,1,1,0,2,0,0,0,0,3,50,69,88
2009,2009091300,21,0,8,0,0,2,1,0,5,2,0,0,0,7,9,76,85
2009,2009091300,22,0,0,0,0,4,2,0,0,0,0,0,0,0,-2,34,24
2009,2009091301,1,0,0,0,1,1,1,0,0,0,0,0,1,0,52,74,104
2009,2009091301,2,0,3,0,1,1,1,0,3,0,0,0,0,3,44,80,98
2009,2009091301,3,1,1,0,0,0,1,0,0,0,0,0,1,0,6,75,12
2009,2009091301,4,0,6,0,0,6,0,0,4,0,0,0,0,7,3,70,73
2009,2009091301,5,0,2,0,1,0,1,0,0,0,0,0,1,0,4,84,8
2009,2009091301,6,0,1,0,1,0,1,0,0,0,0,0,1,0,11,92,22
2009,2009091301,7,0,0,0,1,2,0,0,0,0,0,0,1,0,34,71,68
2009,2009091301,8,0,1,0,0,1,0,0,0,0,0,0,1,0,2,91,4
2009,2009091301,9,1,5,0,0,3,2,1,4,1,0,1,0,6,41,30,48
2009,2009091301,10,0,3,0,2,3,3,0,1,1,0,0,0,0,2,69,23
2009,2009091301,11,0,2,0,0,6,1,0,3,0,0,0,0,0,70,80,117
2009,2009091301,12,0,1,0,0,1,0,0,1,0,0,0,0,7,2,6,8
2009,2009091301,13,0,2,0,0,7,0,0,4,1,0,0,0,7,9,64,73
2009,2009091301,14,0,1,0,0,2,1,0,0,0,0,0,1,0,29,80,58
2009,2009091301,15,0,1,0,1,0,0,0,1,0,0,0,1,0,0,52,0
2009,2009091301,16,0,1,0,1,2,1,0,1,0,0,0,0,3,53,90,108
2009,2009091301,17,0,3,0,1,4,1,0,4,0,0,0,0,7,1,76,77
2009,2009091301,18,0,5,0,0,0,0,0,3,0,0,0,0,7,10,80,90
2009,2009091301,19,0,3,0,0,5,0,0,4,0,0,0,0,7,31,74,105
2009,2009091301,20,2,0,0,0,0,1,2,0,0,0,0,0,0,9,79,1
2009,2009091301,21,0,0,0,1,3,1,0,0,0,0,0,0,7,1,9,10
2009,2009091301,22,0,2,0,0,0,0,0,1,0,0,0,0,0,6,66,26
2009,2009091302,1,0,2,0,1,9,3,0,5,2,0,0,0,7,11,70,81
2009,2009091302,2,0,1,0,0,3,1,0,1,1,0,0,1,0,49,74,98
2009,2009091302,3,0,0,0,0,1,0,0,0,0,0,0,0,0,-3,75,1
2009,2009091302,4,0,1,0,0,1,1,0,0,0,0,0,0,3,49,32,50
2009,2009091302,5,1,0,0,1,0,0,1,0,0,0,0,0,-6,2,75,2
2009,2009091302,6,0,1,0,2,2,2,0,1,0,0,0,1,0,20,80,40
2009,2009091302,7,0,0,0,0,1,0,0,0,0,0,0,0,6,37,30,0
2009,2009091302,8,0,1,0,0,0,0,0,0,0,0,0,0,7,15,9,24
2009,2009091302,9,1,0,0,0,2,1,0,0,0,0,0,1,0,-6,65,-12
2009,2009091302,10,0,4,0,0,5,0,1,4,0,0,0,0,7,4,74,78
2009,2009091302,11,0,4,0,0,1,1,0,1,0,0,0,0,3,22,25,43
2009,2009091302,12,0,2,0,0,2,0,0,2,0,0,0,1,0,36,85,72
2009,2009091302,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,85,72
2009,2009091302,14,0,1,0,1,6,0,0,3,1,0,0,0,0,10,80,60
2009,2009091302,15,1,0,0,0,1,1,0,0,0,0,0,0,0,11,65,3
2009,2009091302,16,0,1,0,0,2,0,0,0,0,0,0,0,7,3,10,13
2009,2009091302,17,0,0,0,0,0,0,0,0,0,0,0,0,0,28,76,28
2009,2009091302,18,0,1,0,1,2,1,1,1,0,0,0,1,0,10,72,20
2009,2009091302,19,0,1,0,0,1,0,0,1,1,0,0,1,0,15,67,30
2009,2009091302,20,1,3,0,0,2,0,1,1,0,0,0,0,0,35,80,61
2009,2009091302,21,1,1,0,0,0,2,0,0,0,0,0,1,0,57,35,114
